tick,wh1_humidity,wh1_temperature,wh1_inventory,wh2_humidity,wh2_temperature,wh2_inventory,dc_capacity,dc_throughput,shipment_humidity,shipment_temperature,arm1_active,arm2_active,truck_cargo,mold_detected,retail_stock
1,53.3,21.9,797,53.0,17.0,598,71.2,339,53.3,21.0,True,True,1,False,399
2,54.0,22.0,796,55.3,17.8,597,73.0,366,51.6,22.1,True,True,2,False,399
3,53.5,22.0,796,54.4,20.9,598,71.8,291,54.5,23.3,True,True,3,False,398
4,56.2,22.5,794,56.9,19.6,598,71.3,298,56.9,22.0,True,True,4,False,399
5,54.1,23.2,791,55.1,20.7,597,72.0,382,52.7,22.8,True,True,5,False,399
6,57.6,23.1,789,55.0,17.1,598,70.1,389,60.0,23.3,True,True,6,False,399
7,58.7,22.6,788,55.8,20.3,596,67.5,399,58.9,24.5,True,True,7,False,398
8,55.4,23.4,787,56.8,18.5,597,69.9,347,58.2,24.7,True,True,8,False,397
9,56.3,23.7,786,56.4,20.2,596,69.1,308,58.9,25.3,True,True,9,False,395
10,57.7,23.9,786,54.2,17.1,596,71.2,415,59.9,24.2,True,True,10,False,396
11,59.1,23.3,784,56.9,19.5,596,66.8,338,59.6,22.3,True,True,0,False,396
12,57.7,23.3,781,54.3,18.0,596,66.3,401,56.2,23.7,True,True,1,False,396
13,58.3,23.8,778,56.6,18.2,594,66.1,307,56.8,23.4,True,True,2,False,397
14,60.0,23.8,776,55.0,16.8,594,68.5,334,62.2,25.5,True,True,3,False,397
15,58.7,24.6,775,55.4,16.3,593,67.0,418,56.1,24.5,True,True,4,False,397
16,60.9,24.3,772,57.5,18.9,593,62.0,310,63.5,25.0,True,True,5,False,395
17,59.4,24.6,771,54.0,20.7,594,64.3,356,59.1,26.4,True,True,6,False,396
18,59.6,24.6,768,56.1,18.7,593,60.8,374,58.3,24.9,True,True,7,False,397
19,60.9,25.0,766,57.4,19.6,591,62.6,319,59.5,25.8,True,True,8,False,398
20,60.7,24.6,765,55.8,19.5,590,61.6,347,58.7,24.9,True,True,9,True,397
21,62.2,25.4,764,53.5,17.2,589,62.1,290,64.6,25.0,True,True,10,False,396
22,60.4,25.4,761,56.0,19.3,589,59.6,365,62.1,25.6,True,True,0,False,397
23,62.9,24.8,759,53.7,18.0,588,60.6,338,61.2,25.8,True,True,1,False,398
24,61.1,25.6,757,52.7,17.7,587,57.7,347,58.3,26.4,True,True,2,False,398
25,63.0,25.9,754,54.0,19.7,586,55.5,417,64.1,27.7,True,True,3,True,397
26,60.5,26.0,752,53.7,16.6,584,59.6,363,59.9,25.9,True,True,4,False,396
27,61.2,25.8,750,55.5,17.1,583,58.6,362,61.0,26.1,True,True,5,False,396
28,61.1,26.0,750,55.0,20.9,582,53.4,330,59.0,25.1,True,True,6,False,396
29,61.4,25.8,747,54.2,20.4,581,56.9,281,63.8,27.4,True,True,7,False,396
30,61.7,26.2,745,51.7,20.8,579,55.0,415,64.6,27.0,True,True,8,False,397
31,61.8,26.2,743,52.9,19.1,580,53.1,350,63.4,26.8,True,True,9,False,397
32,58.9,25.9,741,50.4,18.3,580,50.9,296,58.4,25.9,True,True,10,False,398
33,57.6,26.1,738,53.1,18.1,579,53.1,379,59.7,28.0,True,True,0,False,397
34,59.9,26.4,738,51.6,20.6,579,49.0,383,61.2,27.9,True,True,1,False,398
35,60.3,26.7,735,51.2,19.8,580,50.4,363,58.6,26.7,True,True,2,False,399
36,57.3,26.7,735,51.7,17.0,580,47.6,290,58.8,28.5,True,True,3,False,398
37,55.3,26.1,732,48.9,17.6,580,49.4,309,57.0,25.6,True,True,4,False,397
38,56.9,26.6,731,51.6,16.2,578,50.1,310,58.7,27.3,True,True,5,False,397
39,56.1,26.2,731,50.2,20.8,577,47.8,319,55.7,27.4,True,True,6,False,397
40,54.4,26.7,730,50.4,17.7,576,46.1,398,54.8,27.7,True,True,7,False,398
41,54.7,26.7,729,48.0,19.8,576,44.6,341,56.0,27.2,True,True,8,False,396
42,54.8,26.8,729,48.9,21.0,577,46.5,401,55.1,26.8,True,True,9,False,394
43,53.5,26.8,728,47.3,17.4,575,42.9,327,51.6,28.0,True,True,10,False,393
44,53.0,26.9,728,48.6,17.5,576,46.3,350,50.3,26.1,True,True,0,False,394
45,53.7,27.1,728,47.7,18.5,576,40.4,402,51.4,26.3,True,True,1,False,394
46,51.5,26.6,726,47.5,20.5,576,44.0,337,53.2,26.7,True,True,2,False,393
47,49.7,26.9,725,46.7,19.4,576,41.9,299,47.6,27.1,True,True,3,False,392
48,49.7,26.7,723,44.1,16.4,574,39.7,318,52.2,28.2,True,True,4,False,391
49,47.8,27.2,722,44.8,19.0,575,40.8,408,48.0,27.5,True,True,5,False,390
50,50.0,27.1,721,46.1,16.9,574,37.0,412,50.9,28.8,True,True,6,False,388
51,48.2,27.0,720,45.4,20.1,574,36.9,406,46.9,28.8,True,True,7,False,386
52,47.4,26.8,718,44.3,17.0,573,37.8,407,48.2,28.1,True,True,8,False,385
53,46.8,26.9,717,45.8,20.6,571,39.6,384,44.4,28.9,True,True,9,False,383
54,45.9,27.3,715,42.2,18.5,570,38.0,317,45.2,29.1,True,True,10,False,383
55,47.0,26.8,714,44.9,18.4,569,39.3,405,49.2,27.1,True,True,0,False,384
56,44.3,26.8,713,44.2,20.1,568,39.8,377,43.6,27.8,True,True,1,False,385
57,46.4,26.5,711,42.8,17.3,569,36.9,319,43.8,27.8,True,True,2,False,386
58,44.5,26.5,709,42.1,18.2,569,35.5,353,47.5,27.7,True,True,3,False,384
59,42.0,27.3,707,42.7,19.4,569,35.9,317,40.5,27.5,True,True,4,False,383
60,42.0,27.0,704,40.6,17.4,568,35.3,282,44.4,27.4,True,True,5,False,384
61,43.1,27.3,703,40.0,17.8,567,38.7,403,40.7,27.4,True,True,6,False,384
62,41.9,26.3,702,42.3,19.2,567,37.5,338,42.5,26.4,True,True,7,False,383
63,42.9,27.0,701,41.9,19.7,565,36.3,313,40.4,26.9,True,True,8,False,383
64,41.0,26.7,699,39.6,19.8,566,38.1,309,40.8,25.9,True,True,9,False,383
65,41.0,26.8,697,41.5,20.7,567,34.5,347,41.5,28.3,True,True,10,False,384
66,40.5,26.1,695,39.6,16.2,565,37.4,357,41.4,25.5,True,True,0,False,382
67,40.2,26.1,692,42.5,19.1,565,33.4,386,41.1,27.6,True,True,1,False,382
68,43.8,26.6,690,39.5,20.8,564,33.3,371,41.2,26.4,True,True,2,False,381
69,43.9,26.0,687,41.6,17.2,565,33.3,333,44.4,27.4,True,True,3,False,381
70,43.3,26.4,686,41.3,18.9,564,33.7,283,42.4,27.8,True,True,4,False,381
71,40.4,25.9,685,39.2,19.3,564,34.7,291,41.8,27.6,True,True,5,False,380
72,41.7,25.7,684,40.6,19.2,562,38.3,317,39.1,25.5,True,True,6,False,380
73,43.0,26.6,683,39.3,18.1,562,35.6,385,42.0,27.0,True,True,7,False,378
74,41.5,26.1,683,39.7,18.9,562,34.9,375,43.4,26.8,True,True,8,False,378
75,43.7,25.5,681,39.3,20.2,560,34.9,334,41.6,25.9,True,True,9,False,378
76,43.2,25.4,681,40.3,16.9,558,34.7,359,45.7,25.5,True,True,10,False,377
